Comment,Designator,Footprint,LCSC
1.0kΩ ± 2.00%,"R1,R2",IPC_TWO_PIN_LANDPATTERN_2,C11702
2.7kΩ ± 0.50%,R8,IPC_TWO_PIN_LANDPATTERN,C138017
100.0nF ± 10.00%,C4,IPC_TWO_PIN_LANDPATTERN_1,C1525
~,J1,LP_TYPE_C_31_M_12,C165948
~,U2,SOT95P280X145_5N,C176953
33.0Ω ± 2.00%,"R3,R5,R6",IPC_TWO_PIN_LANDPATTERN_2,C25105
4.7μF ± 20.00%,"C1,C2,C3",IPC_TWO_PIN_LANDPATTERN_3,C255498
100.0kΩ ± 0.50%,"R11,R12,R13",IPC_TWO_PIN_LANDPATTERN,C25741
5.1kΩ ± 1.00%,"R10,R9",IPC_TWO_PIN_LANDPATTERN,C25905
1.0μF ± 10.00%,"C5,C6",IPC_TWO_PIN_LANDPATTERN_1,C29266
1.1kΩ ± 0.50%,R7,IPC_TWO_PIN_LANDPATTERN,C325543
~,U1,VQFN_16_L30_W30_P050_BL_EP,C473396
~,"U5,U9",CONN_SMD_2P_P200_PH20_SPWB,C47647
10.0kΩ ± 2.00%,R4,IPC_TWO_PIN_LANDPATTERN_2,C60490
~,U8,C778186,C778186
~,D1,IPC_TWO_PIN_POL_LANDPATTERN,C84263
~,D2,IPC_TWO_PIN_POL_LANDPATTERN,C965809
