Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7μF ± 20.00%,IPC_TWO_PIN_LANDPATTERN_3,75.184,-160.782,90.0,top
C2,4.7μF ± 20.00%,IPC_TWO_PIN_LANDPATTERN_3,76.2,-160.772611,90.0,top
C3,4.7μF ± 20.00%,IPC_TWO_PIN_LANDPATTERN_3,68.834,-152.654,270.0,top
C4,100.0nF ± 10.00%,IPC_TWO_PIN_LANDPATTERN_1,84.836,-155.575,270.0,top
C5,1.0μF ± 10.00%,IPC_TWO_PIN_LANDPATTERN_1,73.656,-156.093999,270.0,top
C6,1.0μF ± 10.00%,IPC_TWO_PIN_LANDPATTERN_1,71.628,-163.322,0.0,top
D1,~,IPC_TWO_PIN_POL_LANDPATTERN,69.5118,-156.3116,180.0,top
D2,~,IPC_TWO_PIN_POL_LANDPATTERN,70.866,-154.9908,180.0,top
J1,~,LP_TYPE_C_31_M_12,84.582,-162.052,90.0,top
R1,1.0kΩ ± 2.00%,IPC_TWO_PIN_LANDPATTERN_2,72.64,-156.142138,90.0,top
R2,1.0kΩ ± 2.00%,IPC_TWO_PIN_LANDPATTERN_2,71.301,-153.807999,0.0,top
R3,33.0Ω ± 2.00%,IPC_TWO_PIN_LANDPATTERN_2,72.767,-150.251999,90.0,top
R4,10.0kΩ ± 2.00%,IPC_TWO_PIN_LANDPATTERN_2,75.815,-150.251999,270.0,top
R5,33.0Ω ± 2.00%,IPC_TWO_PIN_LANDPATTERN_2,71.301,-152.791999,0.0,top
R6,33.0Ω ± 2.00%,IPC_TWO_PIN_LANDPATTERN_2,71.301,-151.775999,0.0,top
R7,1.1kΩ ± 0.50%,IPC_TWO_PIN_LANDPATTERN,75.946,-156.083,90.0,top
R8,2.7kΩ ± 0.50%,IPC_TWO_PIN_LANDPATTERN,77.236,-151.92,180.0,top
R9,5.1kΩ ± 1.00%,IPC_TWO_PIN_LANDPATTERN,79.0448,-162.8648,0.0,top
R10,5.1kΩ ± 1.00%,IPC_TWO_PIN_LANDPATTERN,79.248,-159.766,0.0,top
R11,100.0kΩ ± 0.50%,IPC_TWO_PIN_LANDPATTERN,83.82,-155.575,270.0,top
R12,100.0kΩ ± 0.50%,IPC_TWO_PIN_LANDPATTERN,80.772,-152.527,0.0,top
R13,100.0kΩ ± 0.50%,IPC_TWO_PIN_LANDPATTERN,74.672,-156.093999,90.0,top
U1,~,VQFN_16_L30_W30_P050_BL_EP,74.291,-153.186,180.0,top
U2,~,SOT95P280X145_5N,72.919,-161.29,90.0,top
U5,~,CONN_SMD_2P_P200_PH20_SPWB,63.825089,-152.654,90.0,top
U8,~,C778186,84.582,-149.9925,180.0,top
U9,~,CONN_SMD_2P_P200_PH20_SPWB,63.825089,-162.306,90.0,top
