Comment,Designator,Footprint,LCSC
TAXM12M2GLFBET2T,X1,HC_49S_L11_4_W4_8,C111117
PAM8302AADCR,U7,SOP_8_L4_9_W3_9_P1_27_LS6_0_BL,C112137
AO6409,"Q3,Q5",TSOP_6_L3_0_W1_5_P0_95_LS2_8_BR,C115833
BSN20,Q1,SOT_23_3_L2_9_W1_6_P1_90_LS2_8_BR,C116157
AP2125K-2.8TRG1,U2,SOT_23_5_L3_0_W1_7_P0_95_LS2_8_BR,C176952
2N3904S-RTKPS,"Q2,Q4",SOT_23_3_L2_9_W1_3_P1_90_LS2_4_TR,C18536
PTS810SJK250SMTRLFS,"SW10,SW11,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",KEY_SMD_4P_L4_2_W3_2_P2_20_LS4_6_6,C221896
KT-0603白灯,"LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28",LED0603_R_RD_WHITE,C2290
IS31FL3236A-QFLS2-TR,U6,C246443,C246443
NH-Z1921RGBA-SF,"LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37",LED_ARRAY_SMD_4P_L2_2_W2_1_BR,C2874119
W25Q128JVSIQTR -YJLTY,U4,SOIC_8_L5_3_W5_3_P1_27_LS8_0_BL,C2921483
PUSB3FR4,D3,DFN2510A_10_L2_5_W1_0_P0_50_BL,C294620
50K,"R27,R28,R29,R30,R31",RES_TH_RK09K1130AAU_1,C470291
BQ24078RGTR,U1,VQFN_16_L3_0_W3_0_P0_50_BL_EP,C473396
PH2.0-2PWB Horizontal,CN1,CONN_SMD_2P_P2_00_PH2_0_SPWB,C47647
TYPE-C-31-M-23,USB1,USB_C_SMD_TYPE_C_31_M_23,C530613
BSS138,"Q6,Q7",SOT_23_3_L2_9_W1_3_P1_90_LS2_4_BR,C713688
MK-12C02-G025,SW1,SW_SMD_MK_12C02_G025,C778186
1N4148W,"D10,D11,D4,D5,D6,D7,D8,D9",SOD_123F_L2_7_W1_6_LS3_8_RD_2,C81598
VL53L0CXV0DH1,U8,OPTO_SMD_12P_VL53L0CXV0DH_1,C91199
WS2816C-2121,"LED1,LED10,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED_SMD_6P_L2_2_W2_2_TL_1,C965561
1K,R4,Pkg0402_6,
33R,R8,Pkg0402_6,
2.2u,C7,Pkg0402_5,
10K,R35,Pkg0402_1,
10K,R23,Pkg0402_1,
100n,C27,Pkg0402_2,
100n,C1,Pkg0402_2,
2K,R5,Pkg0402_6,
1u,C5,Pkg0402_2,
33R,R9,Pkg0402_6,
1K,R24,Pkg0402_1,
1u,C18,Pkg0402_2,
10K,R14,Pkg0402_1,
30p,C10,Pkg0402_2,
1u,C14,Pkg0402_2,
10K,R36,Pkg0402_1,
10K,R25,Pkg0402_1,
1u,C6,Pkg0402_2,
1u,C16,Pkg0402_2,
10K,R20,Pkg0402_1,
100n,C23,Pkg0402_2,
"green, Vf 2.0, If 20 mA",D2,Pkg0603,
5K1,R1,Pkg0402_1,
1K1,R10,Pkg0402_4,
RP2040,U3,C2040,
27R,R12,Pkg0402_1,
30p,C11,Pkg0402_2,
1u,C15,Pkg0402_2,
1u,C19,Pkg0402_2,
10u,C26,Pkg0402_5,
1K,R17,Pkg0402_4,
10K,R21,Pkg0402_1,
100n,C24,Pkg0402_2,
5K1,R2,Pkg0402_1,
4.7u,C3,Pkg0402,
2K7,R11,Pkg0402_1,
27R,R13,Pkg0402_1,
100n,C8,Pkg0402_2,
1u,C21,Pkg0402_2,
30p,C12,Pkg0402_2,
33R,R6,Pkg0402_6,
1K,R16,Pkg0402_4,
82R,R26,Pkg0402_1,
8K2,R32,Pkg0402_3,
1u,C20,Pkg0402_2,
1K,R18,Pkg0402_4,
100n,C25,Pkg0402_2,
"red, Vf 2.0, If 20 mA",D1,Pkg0603,
3K3,R19,Pkg0402_1,
8K2,R34,Pkg0402_3,
30p,C13,Pkg0402_2,
8K2,R33,Pkg0402_3,
10K,R7,Pkg0402_6,
1u,C17,Pkg0402_2,
4.7u,C2,Pkg0402,
1K,R15,Pkg0402_4,
100n,C9,Pkg0402_2,
4.7u,C28,Pkg0402_5,
100K,R3,Pkg0402_1,
4.7u,C4,Pkg0402,
2.2u,C22,Pkg0402_5,
1K,R22,Pkg0402_1,
