Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,Pkg0402_2,133.931997,-131.283706,90.0,top
C2,4.7u,Pkg0402,112.493804,-119.671178,270.0,top
C3,4.7u,Pkg0402,114.453164,-116.423966,180.0,top
C4,4.7u,Pkg0402,116.958099,-124.216213,180.0,top
C5,1u,Pkg0402_2,110.302048,-109.435117,90.0,top
C6,1u,Pkg0402_2,116.277722,-109.606355,90.0,top
C7,2.2u,Pkg0402_5,146.243573,-114.051061,0.0,top
C8,100n,Pkg0402_2,132.870166,-124.206,270.0,top
C9,100n,Pkg0402_2,133.933625,-124.203625,270.0,top
C10,30p,Pkg0402_2,136.944043,-105.896924,270.0,top
C11,30p,Pkg0402_2,128.016,-105.41,270.0,top
C12,30p,Pkg0402_2,130.343573,-105.911061,180.0,top
C13,30p,Pkg0402_2,132.043573,-105.901061,0.0,top
C14,1u,Pkg0402_2,126.975412,-106.196668,270.0,top
C15,1u,Pkg0402_2,135.563573,-115.381061,180.0,top
C16,1u,Pkg0402_2,135.563573,-111.661061,0.0,top
C17,1u,Pkg0402_2,128.843573,-107.352461,90.0,top
C18,1u,Pkg0402_2,125.907173,-116.367861,180.0,top
C19,1u,Pkg0402_2,129.833573,-107.331061,90.0,top
C20,1u,Pkg0402_2,127.712173,-117.471061,180.0,top
C21,1u,Pkg0402_2,131.318,-119.110961,270.0,top
C22,2.2u,Pkg0402_5,87.026257,-101.504462,0.0,top
C23,100n,Pkg0402_2,164.50306,-128.909071,90.0,top
C24,100n,Pkg0402_2,163.513181,-117.905958,270.0,top
C25,100n,Pkg0402_2,161.225376,-117.91711,270.0,top
C26,10u,Pkg0402_5,167.305101,-123.428042,90.0,top
C27,100n,Pkg0402_2,107.50078,-105.233349,270.0,top
C28,4.7u,Pkg0402_5,107.500182,-102.914134,90.0,top
CN1,PH2.0-2PWB Horizontal,CONN_SMD_2P_P2_00_PH2_0_SPWB,116.926277,-129.429015,180.0,top
D1,"red, Vf 2.0, If 20 mA",Pkg0603,109.349035,-123.17815,0.0,top
D2,"green, Vf 2.0, If 20 mA",Pkg0603,109.349263,-121.825874,0.0,top
D3,PUSB3FR4,DFN2510A_10_L2_5_W1_0_P0_50_BL,131.3395,-121.428,-90.0,top
D4,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD,188.40875,-129.606466,-90.0,top
D5,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_5,188.40875,-122.106466,-90.0,top
D6,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_3,188.40875,-114.606466,-90.0,top
D7,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_1,188.40875,-107.106466,-90.0,top
D8,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_6,180.90875,-129.606466,-90.0,top
