Comment,Designator,Footprint,LCSC
M24C04-WMN6TP,U4,SOIC_8_L4_9_W3_9_P1_27_LS6_0_BL,C118280
100K,R1,Pkg0402_3,C138080
100R,R8,R0402,C174142
12K,R5,Pkg0402_4,C1882582
100n,"C1,C2,C3",Pkg0402_2,C2168180
27p,"C12,C13",Pkg0402_2,C2169825
SD-101,Card1,SD_SMD_SD_101,C266601
1u,"C10,C7,C8,C9",Pkg0402_2,C3853687
4.7u,C11,Pkg0402,C3880325
10K,R6,Pkg0402_1,C4101506
1M,R7,Pkg0402_3,C4148816
BD433M5FP-CE2,U3,TO_252_3_L6_5_W5_8_P4_58_BR,C442601
5K,"R2,R3,R4",Pkg0402_3,C477765
USB2240-AEZG-06,U5,QFN_36_L6_0_W6_0_P0_50_TL_EP4_1,C633328
7B024000Q01,X1,CRYSTAL_SMD_4P_L3_2_W2_5_BL,C654991
1u,"C5,C6",Pkg0402_2,C783277
TYPE-C-31-G-03,USB1,USB_C_SMD_TYPE_C_31_G_03,C840338
1u,C4,Pkg0402_2,C92755
19-21/R6C-FP1Q2L/3T,LED1,Pkg0603,C93128
non-BOM,JITX1,JITX_SM_LP,
~,U8,TESTPAD,
~,U6,TESTPAD,
~,U7,TESTPAD,
~,U9,TESTPAD,
~,U1,NPTH,
~,U2,NPTH,
