Comment,Designator,Footprint,LCSC
~,"R11,R12,R13,R15,R17,R18,R2,R3,R5,R6,R8,R9",R_0402_1005Metric,C1096
19-21/Y2C-CN1P2B/3T,"LED11,LED13,LED18,LED3,LED6,LED9",Pkg0603,C131265
~,"R1,R10,R14,R16,R4,R7",R_0402_1005Metric,C25180
19-217UYOC/S3077/TR8,"LED12,LED15,LED17,LED2,LED5,LED8",Pkg0603,C264474
CR2032-BS-6-1,B1,CR2032_BS_6_1_LANDPATTERN,C70377
19-21/R6C-FP1Q2L/3T,"LED1,LED10,LED14,LED16,LED4,LED7",Pkg0603,C93128
~,U8,TESTPAD,
~,U22,NPTH,
~,U12,TESTPAD,
SBU2,TXT6,TEXT_LP_5,
SSRXP2,TXT17,TEXT_LP_3,
~,U13,TESTPAD,
~,U19,NPTH,
~,U6,TESTPAD,
~,U4,TESTPAD,
~,U17,TESTPAD,
CC2,TXT3,TEXT_LP_10,
~,U5,TESTPAD,
~,U18,TESTPAD,
DN1,TXT14,TEXT_LP_14,
~,U21,NPTH,
~,U2,TESTPAD,
SSTXP2,TXT1,TEXT_LP_1,
SSRXN1,TXT7,TEXT_LP_12,
SSRXN2,TXT16,TEXT_LP_16,
DP2,TXT4,TEXT_LP_11,
~,U14,TESTPAD,
~,U16,TESTPAD,
~,U10,TESTPAD,
DP1,TXT13,TEXT_LP_7,
SSTXN1,TXT10,TEXT_LP_13,
SSTXN2,TXT2,TEXT_LP_4,
~,U11,TESTPAD,
SBU1,TXT15,TEXT_LP_2,
SSRXP1,TXT8,TEXT_LP_18,
GND-usb,TXT18,TEXT_LP_9,
~,U7,TESTPAD,
~,U9,TESTPAD,
~,U3,TESTPAD,
DN2,TXT5,TEXT_LP_17,
SSTXP1,TXT9,TEXT_LP_6,
VBUS,TXT11,TEXT_LP_8,
CC1,TXT12,TEXT_LP,
~,U1,TESTPAD,
~,U15,TESTPAD,
~,U20,NPTH,
USB-C Cable Tester | Version 0.1 2023-03-08,TXT19,TEXT_LP_15,
non-BOM,JITX1,JITX_SM_LP,
~,U24,MOLEX10545001011,
~,U23,MOLEX10545001011,
