Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,CR2032-BS-6-1,CR2032_BS_6_1_LANDPATTERN,421.834286,-266.642857,180.0,top
JITX1,non-BOM,JITX_SM_LP,433.318458,-278.920298,180.0,bottom
LED1,19-21/R6C-FP1Q2L/3T,Pkg0603,414.9,-299.528571,0.0,top
LED2,19-217UYOC/S3077/TR8,Pkg0603,416.8,-297.928571,0.0,top
LED3,19-21/Y2C-CN1P2B/3T,Pkg0603,418.7,-296.328571,0.0,top
LED4,19-21/R6C-FP1Q2L/3T,Pkg0603,420.6,-294.728571,0.0,top
LED5,19-217UYOC/S3077/TR8,Pkg0603,422.5,-293.128571,0.0,top
LED6,19-21/Y2C-CN1P2B/3T,Pkg0603,424.4,-291.528571,0.0,top
LED7,19-21/R6C-FP1Q2L/3T,Pkg0603,426.3,-289.928571,0.0,top
LED8,19-217UYOC/S3077/TR8,Pkg0603,428.2,-288.328571,0.0,top
LED9,19-21/Y2C-CN1P2B/3T,Pkg0603,430.1,-286.728571,0.0,top
LED10,19-21/R6C-FP1Q2L/3T,Pkg0603,432.0,-285.128571,0.0,top
LED11,19-21/Y2C-CN1P2B/3T,Pkg0603,441.5,-277.128571,0.0,top
LED12,19-217UYOC/S3077/TR8,Pkg0603,433.9,-283.528571,0.0,top
LED13,19-21/Y2C-CN1P2B/3T,Pkg0603,435.8,-281.928571,0.0,top
LED14,19-21/R6C-FP1Q2L/3T,Pkg0603,437.7,-280.328571,0.0,top
LED15,19-217UYOC/S3077/TR8,Pkg0603,439.6,-278.728571,0.0,top
LED16,19-21/R6C-FP1Q2L/3T,Pkg0603,443.4,-275.528571,0.0,top
LED17,19-217UYOC/S3077/TR8,Pkg0603,445.3,-273.928571,0.0,top
LED18,19-21/Y2C-CN1P2B/3T,Pkg0603,447.2,-272.328571,0.0,top
R1,~,R_0402_1005Metric,418.1,-299.528571,180.0,top
R2,~,R_0402_1005Metric,420.0,-297.928571,180.0,top
R3,~,R_0402_1005Metric,421.9,-296.328571,180.0,top
R4,~,R_0402_1005Metric,423.8,-294.728571,180.0,top
R5,~,R_0402_1005Metric,425.7,-293.128571,180.0,top
R6,~,R_0402_1005Metric,427.6,-291.528571,180.0,top
R7,~,R_0402_1005Metric,429.5,-289.928571,180.0,top
R8,~,R_0402_1005Metric,431.4,-288.328571,180.0,top
R9,~,R_0402_1005Metric,433.3,-286.728571,180.0,top
