Comment,Designator,Footprint,LCSC
100R,RV206,RES_ADJ_SMD_3313J_1,C124614
LED,"D601,D602,D603,D604",LED0402_RD_3,C130719
LM13700MNOPB,U1,SOIC_16_L9_9_W3_9_P1_27_LS6_0_BL,C1346265
220n,C201,Pkg0402_2,C16772
1n,"C202,C205",C0603_1,C178413
SW_SPDT,SW201,SW_TH_MT_0_103_A101_M200_RS,C1788493
2N3904,"Q203,Q204,Q301,Q302,Q501,Q502",SOT_23_3_L2_9_W1_3_P1_90_LS2_4_TR,C18536
2K2,"R404,R406",Pkg0402_1,C1857667
MMDT3906,Q1,SOT_363_L2_0_W1_3_P0_65_LS2_1_BL,C20534
100K,"R204,R205,R206,R210,R504,R511",Pkg0402_1,C2075193
2M2,R203,Pkg0402_1,C2076597
1M5,R201,Pkg0402,C2082545
1M,R217,Pkg0402,C2085938
3K9,"R513,R514,R515,R516",Pkg0402,C2086763
330R,R303,Pkg0402,C2097621
100n,"C119,C120",Pkg0402_2,C2168180
1N5819,"D101,D102",DO_41_BD2_4_L4_7_P8_70_D0_9_FD_1,C2474
10K,"R1,R2,R211,R302,R305,R517",Pkg0402,C2838653
10n,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C203,C204,C206",Pkg0402_2,C318577
1K,"R216,R308,R407,R520,R521",Pkg0402,C3972394
560K,R221,Pkg0402,C3999808
820R,R214,Pkg0402,C4062103
22K,"R208,R220",Pkg0402,C4062114
680K,"R518,R519,R601,R602,R603,R604,R605,R606,R607,R608,R609,R610,R611,R612",Pkg0402,C4075524
180K,R218,Pkg0402,C4078042
3M3,R207,Pkg0402,C4080317
6K8,"R202,R501,R502,R503,R505",Pkg0402,C4156192
7K5,"R306,R307,R506,R508,R509,R510",Pkg0402,C4156241
2M,R405,Pkg0402,C4156295
220R,R301,Pkg0402,C4165539
75K,"R219,R613,R614,R615,R616",Pkg0402,C4266729
1K5,"R507,R512",Pkg0402_1,C4268869
150K,"R401,R403",Pkg0402,C4288097
Conn_02x05_Odd_Even,J101,IDC_TH_10P_P2_54_V_R2_C5_S2_54,C429962
330K,R402,Pkg0402,C4333841
50K,"RV201,RV202,RV203,RV204,RV401,RV402",RES_TH_RK09K1130AAU,C470291
AudioJack2_SwitchT,"J201,J202,J203,J204,J301,J401,J402,J501,J502",AUDIO_TH_PJ_3582_B,C500090
15K,R304,Pkg0402,C593362
TL072CDT,"U10,U2,U3,U4,U5,U6,U7,U8,U9",SOIC_8_L5_0_W4_0_P1_27_LS6_0_BL,C6961
10K,"RV301,RV302,RV403,RV501,RV502,RV601",RES_ADJ_SMD_3314G_1_103E_4,C780220
47R,R215,Pkg0402_1,C852803
33K,R222,Pkg0402_1,C853915
47p,C207,Pkg0402_2,C882562
100K,RV205,RES_ADJ_SMD_3313J_1_1,C89235
1N4148,"D201,D501,D502",SOD_123_L2_7_W1_6_LS3_8_RD,C909967
