Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,10n,Pkg0402_2,131.5,-48.9,0.0,top
C102,10n,Pkg0402_2,118.5,-56.5,180.0,top
C103,10n,Pkg0402_2,207.9,-48.9,0.0,top
C104,10n,Pkg0402_2,194.9,-56.5,180.0,top
C105,10n,Pkg0402_2,192.1,-115.3,180.0,top
C106,10n,Pkg0402_2,205.1,-107.7,0.0,top
C107,10n,Pkg0402_2,155.6,-116.5,180.0,top
C108,10n,Pkg0402_2,168.6,-108.9,0.0,top
C109,10n,Pkg0402_2,113.9,-120.6,180.0,top
C110,10n,Pkg0402_2,126.9,-113.0,0.0,top
C111,10n,Pkg0402_2,80.2,-106.2,180.0,top
C112,10n,Pkg0402_2,93.2,-98.6,0.0,top
C113,10n,Pkg0402_2,60.3,-60.7,90.0,top
C114,10n,Pkg0402_2,67.9,-73.7,-90.0,top
C115,10n,Pkg0402_2,88.5,-129.4,90.0,top
C116,10n,Pkg0402_2,96.1,-142.4,-90.0,top
C117,10n,Pkg0402_2,148.5,-129.3,90.0,top
C118,10n,Pkg0402_2,156.1,-142.3,-90.0,top
C119,100n,Pkg0402_2,128.5,-101.6,90.0,top
C120,100n,Pkg0402_2,145.5,-101.6,90.0,top
C201,220n,Pkg0402_2,88.2,-83.6,-90.0,top
C202,1n,C0603_1,131.5,-54.0005,90.0,top
C203,10n,Pkg0402_2,166.9,-51.5,0.0,top
C204,10n,Pkg0402_2,153.9,-56.5,180.0,top
C205,1n,C0603,181.6005,-50.5,180.0,top
C206,10n,Pkg0402_2,181.6,-56.5,0.0,top
C207,47p,Pkg0402_2,170.7,-76.9,180.0,top
D101,1N5819,DO_41_BD2_4_L4_7_P8_70_D0_9_FD_1,131.885,-103.915,0.0,top
D102,1N5819,DO_41_BD2_4_L4_7_P8_70_D0_9_FD,131.885,-94.315,0.0,top
D201,1N4148,SOD_123_L2_7_W1_6_LS3_8_RD,121.2985,-64.0,0.0,top
D501,1N4148,SOD_123_L2_7_W1_6_LS3_8_RD_2,116.2,-100.2985,-90.0,top
D502,1N4148,SOD_123_L2_7_W1_6_LS3_8_RD_1,104.3,-100.1985,-90.0,top
D601,LED,LED0402_RD_3,180.8555,-113.3,0.0,bottom
D602,LED,LED0402_RD_2,135.8555,-113.3,0.0,bottom
D603,LED,LED0402_RD_1,105.8555,-113.3,0.0,bottom
D604,LED,LED0402_RD,75.8555,-113.3,0.0,bottom
J101,Conn_02x05_Odd_Even,IDC_TH_10P_P2_54_V_R2_C5_S2_54,131.9,-87.8985,0.0,top
J201,AudioJack2_SwitchT,AUDIO_TH_PJ_3582_B,77.0085,-86.25,90.0,bottom
J202,AudioJack2_SwitchT,AUDIO_TH_PJ_3582_B_5,77.0085,-66.25,90.0,bottom
J203,AudioJack2_SwitchT,AUDIO_TH_PJ_3582_B_2,149.0085,-66.25,90.0,bottom
J204,AudioJack2_SwitchT,AUDIO_TH_PJ_3582_B_7,197.0085,-134.75,90.0,bottom
J301,AudioJack2_SwitchT,AUDIO_TH_PJ_3582_B_3,167.0085,-134.75,90.0,bottom
